               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11194,            0.015405,            0.075224,            0.010029,             0.35714,           0.0093106,           0.0012527,            0.073545,            0.010352,            0.050512,              0.0002,              0.0002,              0.0982
                   1,             0.10866,            0.018697,            0.073456,            0.011796,             0.42857,            0.011181,           0.0015038,            0.072128,            0.010627,             0.05007,          0.00049901,          0.00049901,            0.095499
                   2,             0.10401,            0.020579,            0.072404,            0.010981,             0.40476,            0.010766,           0.0012979,            0.069197,            0.011305,            0.049375,          0.00079683,          0.00079683,            0.092797
                   3,            0.094237,            0.020236,            0.068222,           0.0092456,             0.33333,           0.0078948,           0.0011729,            0.063677,            0.012678,            0.048438,           0.0010935,           0.0010935,            0.090093
                   4,            0.084439,            0.022774,            0.064243,           0.0085261,             0.30952,           0.0073246,           0.0015335,            0.057155,            0.014078,            0.046798,           0.0013889,           0.0013889,            0.087389
                   5,            0.077508,            0.026278,            0.059957,            0.020154,             0.60595,            0.021579,            0.004219,            0.051792,            0.015057,            0.045261,           0.0016832,           0.0016832,            0.084683
                   6,            0.075717,            0.026984,            0.056663,            0.062298,             0.34405,            0.071195,             0.01597,            0.047908,              0.0154,            0.043068,           0.0019762,           0.0019762,            0.081976
                   7,            0.073415,            0.024886,            0.055016,             0.14817,             0.41588,             0.19395,            0.038764,            0.044484,            0.015613,            0.041064,           0.0022681,           0.0022681,            0.079268
                   8,            0.071933,            0.024898,             0.05245,            0.066135,             0.71429,            0.087349,            0.021275,            0.044531,            0.014496,            0.036547,           0.0025588,           0.0025588,            0.076559
                   9,              0.0744,            0.020421,             0.05084,             0.85821,             0.52801,             0.73435,             0.12259,             0.04033,            0.014472,            0.033733,           0.0028483,           0.0028483,            0.073848
                  10,            0.071697,            0.020645,            0.044188,             0.41311,             0.52381,             0.50112,            0.062857,            0.047952,            0.012223,            0.028248,           0.0031366,           0.0031366,            0.071137
                  11,            0.079118,            0.019499,            0.042587,             0.39944,                 0.5,              0.5028,             0.06617,            0.057885,            0.010208,            0.027112,           0.0034238,           0.0034238,            0.068424
                  12,            0.085718,            0.017488,            0.037292,             0.47384,               0.475,             0.57554,             0.13582,            0.057298,           0.0096177,            0.026486,           0.0037097,           0.0037097,             0.06571
                  13,            0.085059,            0.015809,            0.035966,            0.038081,             0.83333,            0.042746,           0.0080653,            0.071331,           0.0088617,            0.026247,           0.0039945,           0.0039945,            0.062994
                  14,             0.07789,            0.017366,            0.034607,             0.16525,             0.52381,              0.2229,            0.081977,            0.061109,           0.0099197,            0.026967,            0.004278,            0.004278,            0.060278
                  15,            0.082251,             0.01492,            0.032022,             0.19742,             0.52364,             0.23285,             0.13481,            0.060573,           0.0090039,            0.023835,           0.0045604,           0.0045604,             0.05756
                  16,            0.072779,            0.016004,            0.029995,             0.81228,               0.375,             0.38029,            0.067764,            0.064934,           0.0098624,            0.024416,           0.0048416,           0.0048416,            0.054842
                  17,            0.080392,            0.014732,            0.031671,             0.13974,             0.55643,             0.12714,            0.017582,            0.066484,           0.0091874,            0.020663,           0.0051216,           0.0051216,            0.052122
                  18,            0.098607,             0.01413,            0.030625,             0.14313,             0.95119,             0.17379,            0.030297,            0.063685,           0.0092107,            0.018796,           0.0054004,           0.0054004,              0.0494
                  19,            0.083405,            0.015411,             0.02965,             0.16554,              0.3619,             0.15802,            0.023261,            0.070595,           0.0092918,            0.016581,            0.005678,            0.005678,            0.046678
                  20,            0.097881,            0.013995,            0.028414,             0.12188,             0.52551,             0.14771,            0.028225,            0.057821,           0.0098326,            0.014581,           0.0059545,           0.0059545,            0.043954
                  21,            0.085888,            0.015415,            0.025101,             0.76506,              0.7381,             0.79705,             0.19018,            0.063659,           0.0088482,            0.012348,           0.0062297,           0.0062297,             0.04123
                  22,            0.087317,            0.014581,            0.025154,             0.50587,             0.52381,             0.54115,             0.30921,            0.059096,           0.0094584,            0.010867,           0.0065038,           0.0065038,            0.038504
                  23,            0.083438,            0.015258,            0.022374,             0.46207,             0.66667,               0.587,              0.1586,            0.051485,            0.010598,           0.0093981,           0.0067767,           0.0067767,            0.035777
                  24,            0.080945,            0.014611,            0.021111,             0.21032,             0.64138,             0.28315,             0.15093,            0.058426,            0.011664,           0.0082708,           0.0070484,           0.0070484,            0.033048
